,Group_NR,Question,Sentence,Answer,Label,Similarity_score
0,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigration united state refers immigrant united state national africa,0,0.32076892
1,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,term african scope article refers geographical national origin rather racial affiliation,0,0.20353232
2,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,immigration nationality act 1965 2007 estimated total 0.8 0.9 million african immigrated united state accounting roughly 3.3 total immigration united state period,0,0.21874258
3,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigrant united state come almost region africa constitute homogeneous group,0,0.28733727
4,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,include people different national linguistic ethnic racial cultural social background,0,0.13066781
5,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigrant distinguished african american people latter descendant mostly west central african involuntarily brought united state mean historic atlantic slave trade,1,0.72695786
6,2,how are glacier caves formed?,within ice glacier,partly submerged glacier cave perito moreno glacier,0,0.61707520
7,2,how are glacier caves formed?,within ice glacier,ice facade approximately 60 high,0,0.55688655
8,2,how are glacier caves formed?,within ice glacier,ice formation titlis glacier cave,0,0.71173418
9,2,how are glacier caves formed?,within ice glacier,glacier cave cave formed within ice glacier,1,0.65367633
10,2,how are glacier caves formed?,within ice glacier,glacier cave often called ice cave term properly used describe bedrock cave contain yearround ice,0,0.43295702
11,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,small electrically powered pump,0,0.49349484
12,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,large electrically driven pump electropump waterworks near hengsteysee germany,0,0.42120242
13,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump device move fluid liquid gas sometimes slurry mechanical action,0,0.58696115
14,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump classified three major group according method use move fluid direct lift displacement gravity pump,0,0.50993413
15,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,1,1.00000060
16,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump operate via many energy source including manual operation electricity engine wind power,0,0.61151731
17,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,bmc software inc. american company specializing business service management bsm software,0,0.18141848
18,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,headquartered houston texas bmc develops market sell software used multiple function including service management data center automation performance management virtualization lifecycle management cloud computing management,0,0.12593108
19,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,name  bmc  taken surname three founder  scott boulette john moore dan cloer,0,0.05889565
20,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,"employing 6,000 bmc often credited pioneering bsm concept way help better align operation business need",1,0.14470193
21,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,2011 company recorded annual revenue 2.1 billion making 20 largest software company term revenue year,1,0.68188065
22,5,how much is 1 tablespoon of water,20 ml,tablespoon capacity 15 ml,1,0.60783482
23,5,how much is 1 tablespoon of water,20 ml,measuring spoon,0,0.32917202
24,5,how much is 1 tablespoon of water,20 ml,u part canada tablespoon largest type spoon used eating bowl,0,0.26593953
25,5,how much is 1 tablespoon of water,20 ml,uk europe commonwealth country tablespoon type large spoon usually used serving,0,0.28847244
26,5,how much is 1 tablespoon of water,20 ml,country tablespoon serving spoon nearest equivalent u tablespoon either dessert spoon soup spoon,0,0.27231431
27,5,how much is 1 tablespoon of water,20 ml,tablespoonful nominally capacity one tablespoon commonly used measure volume cooking,0,0.33530870
28,5,how much is 1 tablespoon of water,20 ml,abbreviated tb tb tbsp tblsp tblspn,0,0.19548389
29,5,how much is 1 tablespoon of water,20 ml,capacity ordinary tablespoon regulated law subject considerable variation,0,0.30561212
30,5,how much is 1 tablespoon of water,20 ml,usa one tablespoon measurement unit approximately 15 ml capacity actual tablespoon dining utensil range 7 ml 14 ml,1,0.45902532
31,5,how much is 1 tablespoon of water,20 ml,australia one tablespoon measurement unit 20 ml,1,0.61056626
32,6,how much are the harry potter movies worth,excess 15 billion,harry potter series seven fantasy novel written british author j. k. rowling,0,-0.03598789
33,6,how much are the harry potter movies worth,excess 15 billion,book chronicle adventure wizard harry potter friend ronald weasley hermione granger student hogwarts school witchcraft wizardry,0,-0.02790570
34,6,how much are the harry potter movies worth,excess 15 billion,main story arc concern harry s quest overcome dark wizard lord voldemort whose aim become immortal conquer wizarding world subjugate nonmagical people destroy stand way especially harry potter,0,-0.00071662
35,6,how much are the harry potter movies worth,excess 15 billion,since release first novel harry potter philosopher s stone 30 june 1997 book gained immense popularity critical acclaim commercial success worldwide,0,-0.00112908
36,6,how much are the harry potter movies worth,excess 15 billion,series also share criticism including concern increasingly dark tone,0,0.06663528
37,6,how much are the harry potter movies worth,excess 15 billion,book series sold 450 million copy making bestselling book series history translated 67 language,0,0.16701680
38,6,how much are the harry potter movies worth,excess 15 billion,last four book consecutively set record fastestselling book history,0,-0.04612818
39,6,how much are the harry potter movies worth,excess 15 billion,series many genre including fantasy coming age element mystery thriller adventure romance many cultural meaning reference,0,0.03457063
40,6,how much are the harry potter movies worth,excess 15 billion,according rowling main theme death,0,0.03684980
41,6,how much are the harry potter movies worth,excess 15 billion,also many theme series prejudice corruption,0,0.13882855
42,6,how much are the harry potter movies worth,excess 15 billion,initial major publisher book bloomsbury united kingdom scholastic press united state,0,0.02056281
43,6,how much are the harry potter movies worth,excess 15 billion,book since published many publisher worldwide,0,0.11412230
44,6,how much are the harry potter movies worth,excess 15 billion,book seventh book split two part made eightpart film series warner bros. picture highestgrossing film series time,0,0.04231470
45,6,how much are the harry potter movies worth,excess 15 billion,series also originated much tiein merchandise making harry potter brand worth excess 15 billion,1,0.35755700
46,6,how much are the harry potter movies worth,excess 15 billion,also due success book film harry potter used theme park wizarding world harry potter universal park resort s island adventure,0,0.02707181
47,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rs68 tested nasa s stennis space center,0,0.07732524
48,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,nearly transparent exhaust due engine s exhaust mostly superheated steam water vapor propellant hydrogen oxygen,0,0.24321109
49,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,viking 5c rocket engine,0,0.29412320
50,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine simply  rocket  jet engine us stored propellant mass forming high speed propulsive jet,1,0.90424216
51,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine reaction engine obtain thrust accordance newton s third law,0,0.38280109
52,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,since need external material form jet rocket engine used spacecraft propulsion well terrestrial us missile,0,0.51357394
53,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine internal combustion engine although noncombusting form also exist,0,0.32004225
54,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine group highest exhaust velocity far lightest least propellant efficient type jet engine,0,0.46975833
55,8,how old was britney spears when she recorded hit me baby one more time,sixteen, baby one time song american recording artist britney spear,0,0.04002052
56,8,how old was britney spears when she recorded hit me baby one more time,sixteen,served spear s debut single title track debut studio album  baby one time 1999,0,-0.01668457
57,8,how old was britney spears when she recorded hit me baby one more time,sixteen,written max martin produced martin ramus   baby one time  released september 30 1998 jive record,0,-0.03471979
58,8,how old was britney spears when she recorded hit me baby one more time,sixteen,recording sending demo tape unused song toni braxton spear signed multialbum deal jive,0,0.05381826
59,8,how old was britney spears when she recorded hit me baby one more time,sixteen, baby one time teen pop dancepop song refers girl regret breaking boyfriend,0,0.23381519
60,8,how old was britney spears when she recorded hit me baby one more time,sixteen,song received generally favorable review critic praised composition,0,0.01124087
61,8,how old was britney spears when she recorded hit me baby one more time,sixteen, baby one time attained global success reaching number one every country charted,0,0.04498488
62,8,how old was britney spears when she recorded hit me baby one more time,sixteen,also received numerous certification around world one bestselling single time 10 million copy sold,0,-0.02707072
63,8,how old was britney spears when she recorded hit me baby one more time,sixteen,accompanying music video directed nigel dick portrays spear student catholic high school start daydream singing dancing around school watching love interest afar,0,0.14142561
64,8,how old was britney spears when she recorded hit me baby one more time,sixteen,music video later referenced music video  seek amy  2008 spear s fictional daughter dressed similar schoolgirl outfit wearing pink ribbon hair,0,0.11653429
65,8,how old was britney spears when she recorded hit me baby one more time,sixteen,2010 music video   baby one time  voted third influential video history pop music poll held jam,0,0.07523215
