,Group_NR,Question,Sentence,Answer,Label,Similarity_score
0,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigration united state refers immigrant united state national africa,0,
1,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,term african scope article refers geographical national origin rather racial affiliation,0,
2,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,immigration nationality act 1965 2007 estimated total 0.8 0.9 million african immigrated united state accounting roughly 3.3 total immigration united state period,0,
3,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigrant united state come almost region africa constitute homogeneous group,0,
4,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,include people different national linguistic ethnic racial cultural social background,0,
5,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigrant distinguished african american people latter descendant mostly west central african involuntarily brought united state mean historic atlantic slave trade,1,
6,2,how are glacier caves formed?,within ice glacier,partly submerged glacier cave perito moreno glacier,0,
7,2,how are glacier caves formed?,within ice glacier,ice facade approximately 60 high,0,
8,2,how are glacier caves formed?,within ice glacier,ice formation titlis glacier cave,0,
9,2,how are glacier caves formed?,within ice glacier,glacier cave cave formed within ice glacier,1,
10,2,how are glacier caves formed?,within ice glacier,glacier cave often called ice cave term properly used describe bedrock cave contain year-round ice,0,
11,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,small electrically powered pump,0,
12,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,large electrically driven pump electropump waterworks near hengsteysee germany,0,
13,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump device move fluid liquid gas sometimes slurry mechanical action,0,
14,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump classified three major group according method use move fluid direct lift displacement gravity pump,0,
15,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,1,
16,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump operate via many energy source including manual operation electricity engine wind power,0,
17,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,bmc software inc. american company specializing business service management bsm software,0,
18,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,headquartered houston texas bmc develops market sell software used multiple function including service management data center automation performance management virtualization lifecycle management cloud computing management,0,
19,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,name `` bmc `` taken surname three founder -- scott boulette john moore dan cloer,0,
20,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,"employing 6,000 bmc often credited pioneering bsm concept way help better align operation business need",1,
21,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,2011 company recorded annual revenue 2.1 billion making 20 largest software company term revenue year,1,
22,5,how much is 1 tablespoon of water,20 ml,tablespoon capacity 15 ml,1,
23,5,how much is 1 tablespoon of water,20 ml,measuring spoon,0,
24,5,how much is 1 tablespoon of water,20 ml,u part canada tablespoon largest type spoon used eating bowl,0,
25,5,how much is 1 tablespoon of water,20 ml,uk europe commonwealth country tablespoon type large spoon usually used serving,0,
26,5,how much is 1 tablespoon of water,20 ml,country tablespoon serving spoon nearest equivalent u tablespoon either dessert spoon soup spoon,0,
27,5,how much is 1 tablespoon of water,20 ml,tablespoonful nominally capacity one tablespoon commonly used measure volume cooking,0,
28,5,how much is 1 tablespoon of water,20 ml,abbreviated tb tb tbsp tblsp tblspn,0,
29,5,how much is 1 tablespoon of water,20 ml,capacity ordinary tablespoon regulated law subject considerable variation,0,
30,5,how much is 1 tablespoon of water,20 ml,usa one tablespoon measurement unit approximately 15 ml capacity actual tablespoon dining utensil range 7 ml 14 ml,1,
31,5,how much is 1 tablespoon of water,20 ml,australia one tablespoon measurement unit 20 ml,1,
32,6,how much are the harry potter movies worth,excess 15 billion,harry potter series seven fantasy novel written british author j. k. rowling,0,
33,6,how much are the harry potter movies worth,excess 15 billion,book chronicle adventure wizard harry potter friend ronald weasley hermione granger student hogwarts school witchcraft wizardry,0,
34,6,how much are the harry potter movies worth,excess 15 billion,main story arc concern harry 's quest overcome dark wizard lord voldemort whose aim become immortal conquer wizarding world subjugate non-magical people destroy stand way especially harry potter,0,
35,6,how much are the harry potter movies worth,excess 15 billion,since release first novel harry potter philosopher 's stone 30 june 1997 book gained immense popularity critical acclaim commercial success worldwide,0,
36,6,how much are the harry potter movies worth,excess 15 billion,series also share criticism including concern increasingly dark tone,0,
37,6,how much are the harry potter movies worth,excess 15 billion,book series sold 450 million copy making best-selling book series history translated 67 language,0,
38,6,how much are the harry potter movies worth,excess 15 billion,last four book consecutively set record fastest-selling book history,0,
39,6,how much are the harry potter movies worth,excess 15 billion,series many genre including fantasy coming age element mystery thriller adventure romance many cultural meaning reference,0,
40,6,how much are the harry potter movies worth,excess 15 billion,according rowling main theme death,0,
41,6,how much are the harry potter movies worth,excess 15 billion,also many theme series prejudice corruption,0,
42,6,how much are the harry potter movies worth,excess 15 billion,initial major publisher book bloomsbury united kingdom scholastic press united state,0,
43,6,how much are the harry potter movies worth,excess 15 billion,book since published many publisher worldwide,0,
44,6,how much are the harry potter movies worth,excess 15 billion,book seventh book split two part made eight-part film series warner bros. picture highest-grossing film series time,0,
45,6,how much are the harry potter movies worth,excess 15 billion,series also originated much tie-in merchandise making harry potter brand worth excess 15 billion,1,
46,6,how much are the harry potter movies worth,excess 15 billion,also due success book film harry potter used theme park wizarding world harry potter universal park resort 's island adventure,0,
47,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rs-68 tested nasa 's stennis space center,0,
48,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,nearly transparent exhaust due engine 's exhaust mostly superheated steam water vapor propellant hydrogen oxygen,0,
49,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,viking 5c rocket engine,0,
50,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine simply `` rocket `` jet engine us stored propellant mass forming high speed propulsive jet,1,
51,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine reaction engine obtain thrust accordance newton 's third law,0,
52,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,since need external material form jet rocket engine used spacecraft propulsion well terrestrial us missile,0,
53,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine internal combustion engine although non-combusting form also exist,0,
54,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine group highest exhaust velocity far lightest least propellant efficient type jet engine,0,
55,8,how old was britney spears when she recorded hit me baby one more time,sixteen,... baby one time song american recording artist britney spear,0,
56,8,how old was britney spears when she recorded hit me baby one more time,sixteen,served spear 's debut single title track debut studio album ... baby one time 1999,0,
57,8,how old was britney spears when she recorded hit me baby one more time,sixteen,written max martin produced martin ramus `` ... baby one time `` released september 30 1998 jive record,0,
58,8,how old was britney spears when she recorded hit me baby one more time,sixteen,recording sending demo tape unused song toni braxton spear signed multi-album deal jive,0,
59,8,how old was britney spears when she recorded hit me baby one more time,sixteen,... baby one time teen pop dance-pop song refers girl regret breaking boyfriend,0,
60,8,how old was britney spears when she recorded hit me baby one more time,sixteen,song received generally favorable review critic praised composition,0,
61,8,how old was britney spears when she recorded hit me baby one more time,sixteen,... baby one time attained global success reaching number one every country charted,0,
62,8,how old was britney spears when she recorded hit me baby one more time,sixteen,also received numerous certification around world one best-selling single time 10 million copy sold,0,
63,8,how old was britney spears when she recorded hit me baby one more time,sixteen,accompanying music video directed nigel dick portrays spear student catholic high school start daydream singing dancing around school watching love interest afar,0,
64,8,how old was britney spears when she recorded hit me baby one more time,sixteen,music video later referenced music video `` seek amy `` 2008 spear 's fictional daughter dressed similar schoolgirl outfit wearing pink ribbon hair,0,
65,8,how old was britney spears when she recorded hit me baby one more time,sixteen,2010 music video `` ... baby one time `` voted third influential video history pop music poll held jam,0,
66,8,how old was britney spears when she recorded hit me baby one more time,sixteen,spear performed `` ... baby one time `` number live appearance concert tour,0,
67,8,how old was britney spears when she recorded hit me baby one more time,sixteen,encore ... baby one time tour 1999 dream within dream tour 2001 spear also performed remixed version song oops ...,0,
68,8,how old was britney spears when she recorded hit me baby one more time,sixteen,world tour 2000 onyx hotel tour 2004 m+m 's tour 2007 circus starring britney spear 2009 femme fatale tour 2011,0,
69,8,how old was britney spears when she recorded hit me baby one more time,sixteen,... baby one time nominated grammy award best female pop vocal performance included list blender rolling stone vh1,0,
70,8,how old was britney spears when she recorded hit me baby one more time,sixteen,noted redefining sound late 1990s music,0,
71,8,how old was britney spears when she recorded hit me baby one more time,sixteen,spear named `` ... baby one time `` one favorite song career,0,
72,8,how old was britney spears when she recorded hit me baby one more time,sixteen,also final song played bbc 's music programme top pop,0,
73,9,how old was sue lyon when she made lolita,fourteen,lolita 1962 comedy-drama film stanley kubrick based classic novel title vladimir nabokov centre around middle-aged man becomes obsessed teenage girl,0,
74,9,how old was sue lyon when she made lolita,fourteen,film star james mason humbert humbert sue lyon dolores haze lolita shelley winter charlotte haze peter seller clare quilty,0,
75,9,how old was sue lyon when she made lolita,fourteen,due mpaa 's restriction time film toned provocative aspect novel sometimes leaving much audience 's imagination,0,
76,9,how old was sue lyon when she made lolita,fourteen,actress played lolita sue lyon fourteen time filming,1,
77,9,how old was sue lyon when she made lolita,fourteen,kubrick later commented realized severe censorship limitation going probably never would made film,0,
78,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,cholera infection small intestine caused bacterium vibrio cholerae,0,
79,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,main symptom watery diarrhea vomiting,0,
80,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,1,
81,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,severity diarrhea vomiting lead rapid dehydration electrolyte imbalance death case,0,
82,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,primary treatment oral rehydration therapy typically oral rehydration solution replace water electrolyte,0,
83,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,tolerated provide improvement fast enough intravenous fluid also used,0,
84,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,antibacterial drug beneficial severe disease shorten duration severity,0,
85,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,"worldwide affect 3-5 million people cause 100,000-130,000 death year",0,
