,Group_NR,Question,Sentence,Answer,Label,Similarity_score
0,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigration united state refers immigrant united state national africa,0,0.8035387205091472
1,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,term african scope article refers geographical national origin rather racial affiliation,0,0.6882669455918902
2,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,immigration nationality act 1965 2007 estimated total 0.8 0.9 million african immigrated united state accounting roughly 3.3 total immigration united state period,0,0.7189139724831269
3,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigrant united state come almost region africa constitute homogeneous group,0,0.8039539548375868
4,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,include people different national linguistic ethnic racial cultural social background,0,0.6378326243737945
5,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigrant distinguished african american people latter descendant mostly west central african involuntarily brought united state mean historic atlantic slave trade,1,0.8992270015135205
6,2,how are glacier caves formed?,within ice glacier,partly submerged glacier cave perito moreno glacier,0,0.7165066471298853
7,2,how are glacier caves formed?,within ice glacier,ice facade approximately 60 high,0,0.6749325767443884
8,2,how are glacier caves formed?,within ice glacier,ice formation titlis glacier cave,0,0.8817396537576201
9,2,how are glacier caves formed?,within ice glacier,glacier cave cave formed within ice glacier,1,0.8954351121406178
10,2,how are glacier caves formed?,within ice glacier,glacier cave often called ice cave term properly used describe bedrock cave contain year-round ice,0,0.7743191748679086
11,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,small electrically powered pump,0,0.7739711629911682
12,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,large electrically driven pump electropump waterworks near hengsteysee germany,0,0.7492221765403556
13,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump device move fluid liquid gas sometimes slurry mechanical action,0,0.8787789857066655
14,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump classified three major group according method use move fluid direct lift displacement gravity pump,0,0.8693446031808485
15,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,1,1.0
16,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump operate via many energy source including manual operation electricity engine wind power,0,0.8456070259666808
