,Group_NR,Question,Sentence,Answer,Label,Similarity_score
0,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigration united state refers immigrant united state national africa,0,0.57118344
1,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,term african scope article refers geographical national origin rather racial affiliation,0,0.45770845
2,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,immigration nationality act 1965 2007 estimated total 0.8 0.9 million african immigrated united state accounting roughly 3.3 total immigration united state period,0,0.4542265
3,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigrant united state come almost region africa constitute homogeneous group,0,0.5206018
4,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,include people different national linguistic ethnic racial cultural social background,0,0.3981128
5,1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,involuntarily brought united state mean historic atlantic slave trade,african immigrant distinguished african american people latter descendant mostly west central african involuntarily brought united state mean historic atlantic slave trade,1,0.73501503
6,2,how are glacier caves formed?,within ice glacier,partly submerged glacier cave perito moreno glacier,0,0.69359404
7,2,how are glacier caves formed?,within ice glacier,ice facade approximately 60 high,0,0.46349734
8,2,how are glacier caves formed?,within ice glacier,ice formation titlis glacier cave,0,0.7827868
9,2,how are glacier caves formed?,within ice glacier,glacier cave cave formed within ice glacier,1,0.7228668
10,2,how are glacier caves formed?,within ice glacier,glacier cave often called ice cave term properly used describe bedrock cave contain year-round ice,0,0.42214006
11,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,small electrically powered pump,0,0.3758913
12,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,large electrically driven pump electropump waterworks near hengsteysee germany,0,0.42560408
13,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump device move fluid liquid gas sometimes slurry mechanical action,0,0.6497875
14,3,how a water pump works,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid,pump classified three major group according method use move fluid direct lift displacement gravity pump,0,0.5810161
